date,J3_2%,J3_10%,J3_30%,J3_50%,J3_70%,J3_90%,J3_100%
2016-07-24,234,432,432,234,234,234,234
2016-07-25,363.2,402.5,434.7,457.5,479.8,507.7,554.5
2016-07-26,354.6,400,432.7,455.3,477.9,506.4,553.1
2016-07-27,366.4,401.6,433.7,456.2,478.8,507.1,544
2016-07-28,361.9,400.7,433.7,451.7,480.5,510,551.6
2016-07-29,359.6,400.2,433.6,457.2,480.8,510,553
2016-07-30,366.4,403,434.5,456.8,479.2,507.1,545.8
2016-07-31,367.9,405,436.4,459.1,481.3,509.5,555.8
2016-08-01,368.3,405.2,436.6,459.1,481.1,508.8,554.6
2016-08-02,356.3,397.3,431.9,455.8,479.2,507.6,549.1
2016-08-03,359.2,394.7,426.3,447,468.3,496.2,539.9
2016-08-04,354.5,390.2,422.3,443.1,463.5,490,527.3
2016-08-05,356.1,392.4,424.8,446.2,467.6,495.1,538
2016-08-06,361,395.4,426,446.2,466.8,493.7,540.1
2016-08-07,363.2,400.3,431.1,452.2,473.2,500,545
2016-08-08,367.1,403.2,435.9,459.3,482.4,511,546.2
2016-08-09,371,406.6,439.5,464.4,488.6,519.1,555.4
2016-08-10,371.4,409.1,444.1,471.2,497,528.9,571.9
2016-08-11,360.9,399.5,433.2,457,480.1,508.2,552.4
2016-08-12,360.1,397,430.1,453,475.2,502.1,535.8
2016-08-13,367.5,401,431.5,452.8,473.8,500.2,547.1
2016-08-14,371,407.1,441.1,467.3,492.5,524.8,571.9
2016-08-15,369.7,405.2,437.4,460.6,482.9,510.3,551.6
2016-08-16,366.6,403.5,435.5,458.8,481.8,511.3,560.6
2016-08-17,363.4,401.3,435,459.3,483.5,514.4,554
2016-08-18,363.4,399.1,433.1,458,482.9,514.6,559.6
2016-08-19,362.8,398,430,452.6,474.8,503,550.2
2016-08-20,359.7,396.2,430.4,454.8,479.1,509.9,549.4
2016-08-21,362.2,398,432.1,456.7,481.4,495.3,562.2
2016-08-22,360.1,397.2,431.5,456.1,480.7,511.8,560.4
2016-08-23,364.7,399.5,432.5,456,479.5,508.7,555.7
2016-08-24,355.9,390.5,423.3,445.3,467.1,495,548
2016-08-25,359.7,394.4,426.7,448.7,470.6,497.7,533.2
2016-08-26,360.6,396.6,428.2,458.7,472.7,500.4,546.8
2016-08-27,360.5,396.6,428.4,451,473.1,500.4,547.4
2016-08-28,357,394.4,427.5,450.5,473.3,501.1,538.7
2016-08-29,357.4,396.1,428.6,451.3,473.8,501.1,540.3
2016-08-30,352.8,390.9,423.2,444.5,466.1,493,535.1
2016-08-31,357,399,430,451,472,501,540
2016-09-01,356.5,393.6,425,446,466.8,492.9,530.3
2016-09-02,357.5,392.8,424.5,445.8,467.3,494.3,546.1
2016-09-03,353.1,391.6,423.5,444.5,465.2,490.9,535
2016-09-04,356,392.2,423.5,444.1,464.9,491.3,537
2016-09-05,356,392.4,424,444.7,465.6,491.6,525.6
2016-09-06,356.7,393.3,424.6,445.6,466.5,492.4,534.8
2016-09-07,352,387.7,419.6,440.2,461,487.4,535.1
2016-09-08,353.7,392.6,424.6,445.7,466.8,492.9,538.9
2016-09-09,355.1,391.6,423.2,444.2,465.2,497.1,532.1
2016-09-10,352.6,392.1,425,446.5,467.8,494.2,542.9
2016-09-11,353.8,391.9,423.8,445,466.1,492.4,542
2016-09-12,353.1,393.6,425.6,447.7,469.4,495.8,541.3
2016-09-13,352.7,392.6,424.8,446.9,468.7,494.8,541
2016-09-14,358.4,394.7,425.7,446.7,467.3,492.3,537.2
2016-09-15,351,387.5,419.7,440.4,460.7,486.4,532.9
2016-09-16,357.4,390.4,422.8,443.7,464.1,489.2,533.5
2016-09-17,354.7,391.4,423,443.6,463.7,488.8,533.2
2016-09-18,351.5,387.9,420.1,441,461.5,487.3,541.9
2016-09-19,355,391.6,423,443.1,463.7,488.7,532.1
2016-09-20,353.6,391.6,425.8,447.4,469.1,486.7,539
2016-09-21,347.1,383.9,417.7,439.7,461.5,488.3,537.8
2016-09-22,347.3,383.1,416,437.5,459.5,490.2,540.3
2016-09-23,347.4,382.9,415.5,436.4,457.3,483.9,531.5
2016-09-24,344.4,381.3,414.5,435.5,455.8,482,523.8
2016-09-25,344.9,379.2,411.6,432.4,452.2,478.2,528.1
2016-09-26,348.1,381.2,411.8,433.6,455.1,482,530.8
2016-09-27,347.1,376.3,411.9,433.9,455.1,482.7,530.1
2016-09-28,343.9,380.2,413.4,434.4,455.1,481.8,531.4
2016-09-29,345.1,379,411.9,433,453.3,480.1,525.2
2016-09-30,346.3,376,415.1,438.4,456.2,483.4,530.5
2016-10-01,345.5,377.9,411.8,433,454,481.1,530.4
2016-10-02,346.7,378.3,412.2,433.1,454,480.9,529.1
2016-10-03,339.9,378.4,412.7,434.4,455.2,482.2,534.1
2016-10-04,349.5,385.4,417.4,437.9,457.9,482.6,526.2
2016-10-05,344.6,385.7,417.7,437.7,458,483.7,530.1
2016-10-06,351.9,386.7,417.7,437.7,457.7,483.4,531.2
2016-10-07,351,386.3,418.1,438.7,459,484.7,532.6
2016-10-08,351,385.4,416.3,436.1,456,482.1,531
2016-10-09,355.1,390.3,422.1,443.5,464.8,491.2,538.1
2016-10-10,354.4,390,422.1,443.7,464,491,537.3
2016-10-11,351.3,388.7,421.2,442.6,463.7,490,537.3
2016-10-12,351.4,387.2,424.4,441.6,460.2,482.6,527.6
2016-10-13,352,387.6,422.6,441.9,462.2,483.9,527.8
2016-10-14,351.2,386.4,420.2,441,464.2,490.2,536.2
2016-10-15,345,389.8,425.3,448.6,471.4,501.1,540.7
2016-10-16,356.8,393.3,426.8,449.2,471.5,500.9,544
2016-10-17,352.9,391.1,425.8,448.7,471.9,503,568
2016-10-18,349.9,387.8,422.3,445.4,468.4,498,542
2016-10-19,355.1,393.2,426.7,448.9,471.4,499.8,555
2016-10-20,352.6,391.2,425.4,447.8,470.2,498.4,534.5
2016-10-21,354.2,391,423.5,445,466.7,494.3,530.9
2016-10-22,356.1,392.3,424.6,446.4,468.4,496.3,544.2
2016-10-24,351.2,389.7,422.5,443.9,456.6,493.8,539
2016-10-25,336.9,382.7,417.7,439.7,461.6,490,546.5
2016-10-26,341.2,382,416.2,438.2,459.6,487.1,535.2
2016-10-27,339.1,377.5,411.8,433.1,454.4,481.6,531.6
2016-10-28,331.6,374.4,409.4,431.8,453.6,479.8,519.8
2016-10-29,336.4,374.4,408.1,428.8,449.3,476.4,528.2
2016-10-30,336,375.7,409.2,430.1,450.6,477.5,522.8
2016-10-31,328.5,372.5,407.9,429.3,450.1,477.8,539.8
2016-11-01,335.5,372.3,406,427.6,448.7,476.4,533.4
2016-11-02,332.2,370,406.2,424.4,446.8,476.2,532.2
2016-11-03,329.1,369.1,403.5,424.7,445.7,473.3,527.5
2016-11-04,326.9,364.7,397.9,418.5,438.6,466.3,524.6
2016-11-05,321.8,363.5,398.9,420.9,442.6,471.5,534.1
2016-11-06,321.6,363.5,398.5,420.4,442.2,470.9,527.5
2016-11-07,324.8,359.9,394.6,416.9,439,468.1,524.9
2016-11-08,324.4,361.3,396,417,439.7,468.1,508.5
2016-11-09,321.2,356.5,391.4,413.5,435.8,464.6,511.5
2016-11-11,308.3,350.6,387.2,410.2,433.1,463.2,508.2
2016-11-12,312.8,347.1,382.7,405.8,427.8,457.2,519.4
2016-11-13,309.6,343.1,377.6,400,420.9,448.9,489.3
